序号	作物	成果名称	审定或鉴定单位	编号	时间	完成人	选育单位
323	水稻	华两优2115	湖北省农作物品种审定委员会	鄂审稻20220022	2022	牟同敏，米甲明，李春海，杨大兵，熊立仲，孙焱，陈云	华中农业大学
322	水稻	楚华珍占	湖北省农作物品种审定委员会	鄂审稻20220062	2022	牟同敏，王红波，李春海，米甲明，熊立仲，孙焱，陈云	华中农业大学
321	水稻	华两优341	湖北省农作物品种审定委员会	鄂审稻20220068	2022	米甲明，牟同敏，李春海，熊立仲，孙焱，陈云	华中农业大学
320	水稻	华634S	湖北省农作物品种审定委员会	鄂审稻20220071	2022	牟同敏，杨大兵， 李春海 ，米甲明， 孙焱， 陈云，熊立仲	华中农业大学
319	水稻	华两优1462	四川省农作物品种审定委员会	川审稻20222046	2022	何予卿，朱彩章，高冠军，张庆路，王文浩，张朝勇，邓显，杨帆，李莎莎	成都天府农作物研究所、华中农业大学、湖北中香农业科技股份有限公司
318	油菜	华油2115	中华人民共和国农业农村部	GPD油菜（2022）420191	2022	范楚川，周永明	华中农业大学
317	油菜	华油2133	中华人民共和国农业农村部	GPD油菜（2022）420190	2022	范楚川，周永明	华中农业大学
316	油菜	华油2102	中华人民共和国农业农村部	GPD油菜（2022）420151	2022	周永明，范楚川	华中农业大学
315	油菜	华油2137	中华人民共和国农业农村部	GPD油菜（2022）420267	2022	周永明，范楚川	华中农业大学
314	油菜	华油杂185	中华人民共和国农业农村部	GPD油菜（2022）420214	2022	杨光圣等	华中农业大学、武汉联农种业科技有限责任公司
313	油菜	华油杂188	中华人民共和国农业农村部	GPD油菜（2022）420217	2022	杨光圣等	华中农业大学、武汉联农种业科技有限责任公司
312	油菜	华油杂189	中华人民共和国农业农村部	GPD油菜（2022）420216	2022	杨光圣等	华中农业大学、武汉联农种业科技有限责任公司
311	油菜	圣光168E	中华人民共和国农业农村部	GPD油菜（2022）420215	2022	杨光圣等	华中农业大学、武汉联农种业科技有限责任公司
310	油菜	徽油杂41	中华人民共和国农业农村部	GPD油菜（2022）420253	2022	范志雄，雷伟侠，杨光圣等	安徽省农业科学院作物研究所、华中农业大学、武汉联农种业科技有限责任公司
309	油菜	华油杂707	中华人民共和国农业农村部	GDP油菜（2022）420084	2022	涂金星	华中农业大学
308	油菜	华油杂718	中华人民共和国农业农村部	GDP油菜（2022）420085	2022	涂金星	华中农业大学
307	油菜	华油杂724	中华人民共和国农业农村部	GDP油菜（2022）420268	2022	涂金星	华中农业大学
306	油菜	华油杂725	中华人民共和国农业农村部	GDP油菜（2022）420269	2022	涂金星	华中农业大学
305	油菜	华油杂974	中华人民共和国农业农村部	GDP油菜（2022）420039	2022	马朝芝等	华中农业大学
304	油菜	华油杂991	中华人民共和国农业农村部	GDP油菜（2022）420040	2022	马朝芝等	华中农业大学
303	油菜	华油杂1019	中华人民共和国农业农村部	GDP油菜（2022）420041	2022	马朝芝等	华中农业大学
302	油菜	华油杂964	中华人民共和国农业农村部	GDP油菜（2022）420385	2022	马朝芝	华中农业大学
301	油菜	华油杂994	中华人民共和国农业农村部	GDP油菜（2022）420386	2022	马朝芝	华中农业大学
